"filename", "language", "JSON", "Properties", "YAML", "PHP", "JavaScript", "XML", "CSS", "SCSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\sportify\.editorconfig", "Properties", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\xampp\htdocs\sportify\.gitattributes", "Properties", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\xampp\htdocs\sportify\.styleci.yml", "YAML", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\xampp\htdocs\sportify\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 20, 80
"c:\xampp\htdocs\sportify\app\Admin.php", "PHP", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 10, 6, 32
"c:\xampp\htdocs\sportify\app\Console\Kernel.php", "PHP", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 18, 7, 42
"c:\xampp\htdocs\sportify\app\Entidad.php", "PHP", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 10, 9, 40
"c:\xampp\htdocs\sportify\app\Equipamiento.php", "PHP", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 6, 7, 24
"c:\xampp\htdocs\sportify\app\Exceptions\Handler.php", "PHP", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 28, 7, 56
"c:\xampp\htdocs\sportify\app\Http\Controllers\Admin\AdminController.php", "PHP", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 19, 58
"c:\xampp\htdocs\sportify\app\Http\Controllers\Admin\Auth\ForgotPasswordController.php", "PHP", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 4, 12
"c:\xampp\htdocs\sportify\app\Http\Controllers\Admin\Auth\LoginController.php", "PHP", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 37, 18, 111
"c:\xampp\htdocs\sportify\app\Http\Controllers\Admin\Auth\RegisterController.php", "PHP", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 1, 22, 67
"c:\xampp\htdocs\sportify\app\Http\Controllers\Admin\Auth\ResetPasswordController.php", "PHP", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 4, 12
"c:\xampp\htdocs\sportify\app\Http\Controllers\Admin\EquipoController.php", "PHP", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 1, 17, 55
"c:\xampp\htdocs\sportify\app\Http\Controllers\Admin\EventsController.php", "PHP", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 18, 57
"c:\xampp\htdocs\sportify\app\Http\Controllers\Admin\HomeController.php", "PHP", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 7, 30, 131
"c:\xampp\htdocs\sportify\app\Http\Controllers\Admin\TematicaController.php", "PHP", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 1, 34, 97
"c:\xampp\htdocs\sportify\app\Http\Controllers\Admin\UsuarioController.php", "PHP", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 1, 23, 86
"c:\xampp\htdocs\sportify\app\Http\Controllers\Api\Auth\LoginController.php", "PHP", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 1, 28, 88
"c:\xampp\htdocs\sportify\app\Http\Controllers\Api\ChatController.php", "PHP", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 8, 29, 105
"c:\xampp\htdocs\sportify\app\Http\Controllers\Api\EquiposController.php", "PHP", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 9, 32
"c:\xampp\htdocs\sportify\app\Http\Controllers\Api\EventsController.php", "PHP", 0, 0, 0, 293, 0, 0, 0, 0, 0, 0, 30, 102, 425
"c:\xampp\htdocs\sportify\app\Http\Controllers\Auth\ConfirmPasswordController.php", "PHP", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 20, 7, 41
"c:\xampp\htdocs\sportify\app\Http\Controllers\Auth\ForgotPasswordController.php", "PHP", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 15, 7, 36
"c:\xampp\htdocs\sportify\app\Http\Controllers\Auth\LoginController.php", "PHP", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 20, 8, 50
"c:\xampp\htdocs\sportify\app\Http\Controllers\Auth\RegisterController.php", "PHP", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 32, 9, 74
"c:\xampp\htdocs\sportify\app\Http\Controllers\Auth\ResetPasswordController.php", "PHP", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 22, 9, 48
"c:\xampp\htdocs\sportify\app\Http\Controllers\Auth\VerificationController.php", "PHP", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 20, 7, 43
"c:\xampp\htdocs\sportify\app\Http\Controllers\Controller.php", "PHP", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\xampp\htdocs\sportify\app\Http\Controllers\Entidad\Auth\ForgotPasswordController.php", "PHP", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 4, 12
"c:\xampp\htdocs\sportify\app\Http\Controllers\Entidad\Auth\LoginController.php", "PHP", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 37, 26, 119
"c:\xampp\htdocs\sportify\app\Http\Controllers\Entidad\Auth\RegisterController.php", "PHP", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 7, 22, 97
"c:\xampp\htdocs\sportify\app\Http\Controllers\Entidad\Auth\ResetPasswordController.php", "PHP", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 4, 12
"c:\xampp\htdocs\sportify\app\Http\Controllers\Entidad\EnfrentamientoController.php", "PHP", 0, 0, 0, 312, 0, 0, 0, 0, 0, 0, 23, 69, 404
"c:\xampp\htdocs\sportify\app\Http\Controllers\Entidad\EquipamientoController.php", "PHP", 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 3, 39, 145
"c:\xampp\htdocs\sportify\app\Http\Controllers\Entidad\EventsController.php", "PHP", 0, 0, 0, 290, 0, 0, 0, 0, 0, 0, 33, 76, 399
"c:\xampp\htdocs\sportify\app\Http\Controllers\Entidad\ForoController.php", "PHP", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 1, 24, 85
"c:\xampp\htdocs\sportify\app\Http\Controllers\Entidad\GrupoConversacionController.php", "PHP", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 1, 19, 67
"c:\xampp\htdocs\sportify\app\Http\Controllers\Entidad\HomeController.php", "PHP", 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 16, 42, 185
"c:\xampp\htdocs\sportify\app\Http\Controllers\Entidad\PistaController.php", "PHP", 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 3, 41, 147
"c:\xampp\htdocs\sportify\app\Http\Controllers\HomeController.php", "PHP", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 10, 5, 30
"c:\xampp\htdocs\sportify\app\Http\Controllers\Individual\AmigosController.php", "PHP", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 6, 33, 118
"c:\xampp\htdocs\sportify\app\Http\Controllers\Individual\Auth\ForgotPasswordController.php", "PHP", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 22, 7, 56
"c:\xampp\htdocs\sportify\app\Http\Controllers\Individual\Auth\LoginController.php", "PHP", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 37, 18, 111
"c:\xampp\htdocs\sportify\app\Http\Controllers\Individual\Auth\RegisterController.php", "PHP", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 8, 25, 112
"c:\xampp\htdocs\sportify\app\Http\Controllers\Individual\Auth\ResetPasswordController.php", "PHP", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 32, 8, 69
"c:\xampp\htdocs\sportify\app\Http\Controllers\Individual\EnfrentamientoController.php", "PHP", 0, 0, 0, 312, 0, 0, 0, 0, 0, 0, 23, 68, 403
"c:\xampp\htdocs\sportify\app\Http\Controllers\Individual\EquipamientoController.php", "PHP", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 1, 17, 66
"c:\xampp\htdocs\sportify\app\Http\Controllers\Individual\EquipoController.php", "PHP", 0, 0, 0, 170, 0, 0, 0, 0, 0, 0, 17, 67, 254
"c:\xampp\htdocs\sportify\app\Http\Controllers\Individual\EventsController.php", "PHP", 0, 0, 0, 545, 0, 0, 0, 0, 0, 0, 58, 163, 766
"c:\xampp\htdocs\sportify\app\Http\Controllers\Individual\ForoController.php", "PHP", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 1, 26, 87
"c:\xampp\htdocs\sportify\app\Http\Controllers\Individual\GrupoConversacionController.php", "PHP", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 1, 23, 71
"c:\xampp\htdocs\sportify\app\Http\Controllers\Individual\HomeController.php", "PHP", 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 20, 48, 215
"c:\xampp\htdocs\sportify\app\Http\Controllers\Individual\PistaController.php", "PHP", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 1, 18, 67
"c:\xampp\htdocs\sportify\app\Http\Kernel.php", "PHP", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 20, 7, 67
"c:\xampp\htdocs\sportify\app\Http\Middleware\Authenticate.php", "PHP", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 6, 9, 31
"c:\xampp\htdocs\sportify\app\Http\Middleware\CheckForMaintenanceMode.php", "PHP", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\sportify\app\Http\Middleware\EncryptCookies.php", "PHP", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\sportify\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 12, 7, 44
"c:\xampp\htdocs\sportify\app\Http\Middleware\TrimStrings.php", "PHP", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 5, 4, 19
"c:\xampp\htdocs\sportify\app\Http\Middleware\TrustProxies.php", "PHP", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 10, 5, 24
"c:\xampp\htdocs\sportify\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\sportify\app\Individual.php", "PHP", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 10, 7, 38
"c:\xampp\htdocs\sportify\app\MensajeForo.php", "PHP", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 7, 24
"c:\xampp\htdocs\sportify\app\MensajeGrupo.php", "PHP", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 6, 6, 24
"c:\xampp\htdocs\sportify\app\Pista.php", "PHP", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 6, 7, 24
"c:\xampp\htdocs\sportify\app\Providers\AppServiceProvider.php", "PHP", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12, 5, 29
